timestamp,AC,ACA,AI,AIR,BN,BNP,BVI,CA,CAP,CS,DG,DSY,EDEN,EL,EN,ENGI,ERF,GLE,HO,KER,LR,MC,ML,MT,OR,ORA,PUB,RI,RMS,RNO,SAF,SAN,SGO,STLAP,STMPA,SU,TEP,TTE,URW,VIE
2023-11-29 08:00:00+00:00,31.74,11.742,158.87,135.14,59.01,56.69,22.49,17.414,186.02,28.325,111.48,43.165,50.36,176.48,34.91,15.862,52.84,22.69,138.46,394.3,88.42,693.2,30.68,22.815,432.5,11.242,76.4,158.34,1912.2,35.775,161.42,3.7764,59.43,19.132,42.47,166.5,130.4,62.275,56.64,28.59
2023-11-29 09:00:00+00:00,31.78,11.734,158.22,135.4,59.02,56.79,22.52,17.47,186.76,28.365,111.58,43.21,50.36,176.94,34.995,15.868,53.09,22.805,138.46,398.26,88.4,695.6,30.78,22.88,431.48,11.236,76.32,158.1,1912.0,35.86,160.64,3.7786,59.29,19.26,42.634,166.06,130.7,62.39,56.78,28.67
2023-11-29 10:00:00+00:00,31.72,11.734,158.51,136.0,59.2,56.73,22.54,17.47,187.56,28.51,112.06,43.265,50.11,177.02,35.11,15.876,53.22,22.77,139.2,394.86,88.46,693.05,30.66,22.93,432.5,11.27,76.4,157.7,1905.0,35.77,160.74,3.78,59.2,19.256,42.656,166.22,130.1,62.48,56.68,28.6
2023-11-29 11:00:00+00:00,31.65,11.744,158.4,136.06,59.23,56.73,22.62,17.456,187.88,28.475,111.8,43.165,50.05,176.76,35.11,15.894,53.28,22.725,139.16,396.2,88.5,691.8,30.59,23.045,432.3,11.276,76.5,156.2,1901.6,35.75,160.66,3.7816,59.16,19.422,42.64,166.37,130.18,62.62,56.84,28.72
2023-11-29 12:00:00+00:00,31.77,11.758,158.56,136.5,59.26,56.84,22.6,17.44,187.48,28.565,111.96,43.17,50.2,176.94,35.11,15.914,53.24,22.77,139.3,396.0,88.46,691.8,30.6,23.075,433.36,11.266,76.65,156.26,1901.8,35.78,161.06,3.789,59.49,19.512,42.78,166.52,130.0,62.505,56.74,28.72
2023-11-29 13:00:00+00:00,31.75,11.75,158.1,136.36,59.18,56.84,22.55,17.394,187.3,28.54,111.98,43.085,50.13,176.74,35.025,15.926,52.94,22.715,139.3,394.26,88.42,690.75,30.72,23.02,431.9,11.26,77.0,155.7,1900.6,35.76,160.8,3.793,59.38,19.572,42.85,166.57,130.16,62.185,56.76,28.72
2023-11-29 14:00:00+00:00,31.7,11.748,157.98,135.86,59.09,56.81,22.55,17.41,187.58,28.53,111.86,43.19,50.04,176.9,35.03,15.922,52.9,22.74,138.56,393.76,88.35,690.35,30.72,22.92,431.02,11.27,77.13,155.96,1894.2,35.755,160.34,3.7964,59.44,19.6,43.04,166.94,130.3,61.81,56.96,28.78
2023-11-29 15:00:00+00:00,31.765,11.782,158.16,136.16,59.23,57.09,22.5,17.446,188.38,28.58,112.04,43.175,50.1,177.04,35.09,15.888,53.01,22.825,138.66,391.8,88.34,690.9,30.91,22.93,432.2,11.282,77.18,155.32,1896.2,36.035,160.72,3.805,59.53,19.816,43.32,167.01,130.26,61.915,57.54,28.865
2023-11-29 16:00:00+00:00,31.63,11.8,157.42,135.98,59.4,57.0,22.47,17.33,188.56,28.44,112.04,43.065,50.02,177.24,35.14,15.826,52.98,22.92,138.6,391.56,88.16,689.8,30.78,22.83,430.6,11.258,77.28,155.96,1901.0,35.825,160.14,3.7986,59.6,19.598,43.05,167.1,130.3,61.7,57.26,28.85
2023-11-30 08:00:00+00:00,31.77,11.924,157.67,135.98,58.74,57.27,22.2,17.344,188.6,28.435,111.9,43.04,49.84,176.1,35.15,15.896,52.5,22.855,136.08,387.3,88.16,684.0,30.66,22.825,428.5,11.282,77.64,155.76,1879.8,35.84,160.16,3.8154,59.3,19.868,43.63,167.38,128.2,62.35,57.68,28.75
2023-11-30 09:00:00+00:00,31.945,11.952,158.4,135.68,59.01,57.43,22.44,17.36,189.1,28.555,112.38,42.98,49.99,176.82,35.21,15.936,52.95,22.965,136.26,390.76,88.4,688.0,30.725,22.92,429.86,11.304,77.44,155.26,1877.4,35.785,160.04,3.826,59.46,19.822,43.8,167.42,128.94,62.67,58.06,28.955
2023-11-30 10:00:00+00:00,31.87,11.966,158.69,135.46,58.87,57.51,22.34,17.336,189.36,28.585,112.4,43.045,50.16,176.72,35.05,15.966,52.86,23.015,136.96,390.76,88.32,689.4,30.68,22.93,431.0,11.288,77.36,156.76,1871.8,35.98,160.08,3.831,59.55,19.918,44.05,168.08,129.76,63.22,58.42,28.86
2023-11-30 11:00:00+00:00,31.865,11.98,158.85,135.73,58.87,57.48,22.25,17.304,189.0,28.575,112.4,43.06,50.16,176.74,35.03,15.918,53.11,23.0,137.16,391.66,88.38,691.8,30.67,23.03,432.6,11.282,77.54,157.56,1876.2,35.9,160.48,3.821,59.59,19.906,44.176,168.32,130.2,62.99,58.34,28.85
2023-11-30 12:00:00+00:00,32.0,11.99,158.95,135.89,58.79,57.68,22.27,17.342,189.4,28.59,112.5,43.08,50.2,176.8,35.05,15.904,53.04,23.08,137.3,394.06,88.31,694.45,30.715,23.05,432.6,11.318,77.57,157.2,1886.4,36.045,160.02,3.8164,59.92,20.07,44.13,168.42,130.16,63.02,58.22,28.99
2023-11-30 13:00:00+00:00,32.03,11.97,158.8,135.94,58.85,57.79,22.29,17.34,188.52,28.595,112.34,43.03,50.22,176.8,35.02,15.9,52.86,23.12,137.66,393.66,88.4,696.7,30.69,23.015,431.66,11.338,77.57,157.5,1885.6,36.15,160.32,3.81,59.91,20.07,43.87,168.54,129.34,62.95,58.12,28.96
2023-11-30 14:00:00+00:00,31.97,11.97,158.55,136.0,58.91,57.86,22.36,17.39,188.3,28.63,112.26,42.86,50.02,176.0,35.04,15.916,52.66,23.18,137.62,392.66,88.38,698.3,30.7,23.13,431.0,11.326,77.62,157.76,1893.6,36.23,160.42,3.798,59.93,20.074,43.686,169.12,129.16,62.99,58.28,28.94
2023-11-30 15:00:00+00:00,31.955,11.964,158.79,136.1,59.08,57.81,22.41,17.372,187.9,28.61,112.4,42.8,50.09,174.72,35.06,15.904,53.24,23.105,137.32,392.64,88.46,698.25,30.94,23.235,432.2,11.334,77.65,158.0,1898.0,36.02,160.08,3.812,59.9,19.974,43.51,168.66,129.56,62.36,58.46,28.96
2023-11-30 16:00:00+00:00,31.81,11.99,158.47,136.32,58.97,57.81,22.21,17.394,188.0,28.63,112.12,42.965,50.0,175.12,34.99,15.856,53.5,23.075,136.96,392.9,88.42,702.6,30.74,23.09,430.5,11.304,77.58,158.56,1891.0,35.96,160.68,3.7946,59.8,19.858,43.456,168.7,128.56,62.14,58.38,28.91
2023-12-01 08:00:00+00:00,32.13,12.068,158.47,137.16,59.18,57.97,22.29,17.36,187.26,29.045,113.24,43.325,50.32,176.76,35.04,16.012,53.1,22.75,138.84,394.9,89.12,701.5,30.89,23.3,434.8,11.378,76.66,157.84,1914.4,35.98,162.8,3.8146,59.85,20.016,43.86,169.74,128.7,62.49,58.58,29.04
2023-12-01 09:00:00+00:00,32.25,12.034,158.4,137.54,58.64,57.93,22.29,17.386,186.8,29.0,113.16,43.115,50.5,177.66,35.0,15.968,53.46,22.82,139.06,394.7,89.48,697.5,30.94,23.43,435.16,11.39,77.24,157.3,1911.0,35.95,162.82,3.82,59.96,19.96,43.884,169.68,128.48,62.38,58.86,28.92
2023-12-01 10:00:00+00:00,32.11,12.01,158.67,137.88,58.58,57.91,22.23,17.376,186.9,29.01,113.06,43.075,50.5,178.16,34.95,15.958,53.32,22.84,138.88,393.6,89.4,699.0,30.94,23.41,435.6,11.41,77.64,156.56,1914.4,35.94,163.2,3.834,59.83,20.09,43.946,169.68,127.76,62.45,58.84,28.91
2023-12-01 11:00:00+00:00,32.2,12.016,158.4,137.7,58.67,57.79,22.21,17.388,186.86,28.97,113.24,43.21,50.41,178.06,34.995,15.992,53.26,22.875,138.6,393.06,89.4,697.6,30.92,23.335,435.36,11.38,77.8,157.0,1914.4,36.06,162.88,3.82,59.8,20.074,43.936,169.96,127.76,62.44,59.0,28.94
2023-12-01 12:00:00+00:00,32.18,12.016,158.05,137.38,58.5,57.79,22.16,17.308,186.76,28.915,113.02,43.21,50.48,178.68,34.955,16.004,53.35,22.81,138.34,393.16,89.05,693.7,30.92,23.29,435.5,11.384,77.98,157.3,1912.0,36.115,162.28,3.819,59.66,20.1,43.87,169.92,127.36,62.235,59.0,29.0
2023-12-01 13:00:00+00:00,32.25,12.046,157.8,137.64,58.51,57.685,22.22,17.32,186.9,28.91,113.06,43.16,50.55,178.4,34.98,16.0,53.56,22.79,138.48,391.2,89.06,690.5,30.93,23.275,434.1,11.378,77.78,157.4,1910.2,36.07,162.26,3.815,59.6,20.062,43.774,169.47,127.06,62.18,58.8,28.91
2023-12-01 14:00:00+00:00,32.25,12.058,157.58,138.0,58.5,57.85,22.23,17.304,186.9,28.97,113.3,43.24,50.7,178.0,35.1,16.024,53.66,22.86,139.12,392.2,89.23,692.8,30.92,23.41,435.66,11.402,77.92,157.56,1914.2,36.105,162.62,3.8286,59.69,20.06,43.7,169.5,127.26,62.46,59.34,28.89
2023-12-01 15:00:00+00:00,32.435,12.066,157.24,138.06,58.49,57.785,22.22,17.336,186.82,28.94,113.54,43.29,50.75,178.68,35.09,16.03,53.74,22.92,139.04,393.94,89.38,696.3,31.035,23.45,436.26,11.4,78.07,157.84,1916.4,36.16,162.66,3.8276,59.87,20.074,43.73,169.9,127.76,62.435,59.82,28.86
2023-12-01 16:00:00+00:00,32.46,12.032,157.15,137.98,58.7,58.21,22.21,17.296,187.0,28.88,113.6,43.335,50.9,178.12,35.05,16.122,53.96,22.915,139.34,392.9,89.42,699.6,30.99,23.475,437.1,11.35,78.22,158.16,1916.4,36.255,163.14,3.8376,59.75,20.17,43.73,170.12,128.26,62.16,59.98,28.96
2023-12-04 08:00:00+00:00,32.6,12.066,155.45,138.2,58.6,58.22,22.21,17.28,188.0,28.82,113.34,43.375,51.4,177.94,34.95,16.018,54.32,22.955,138.06,403.3,89.0,700.3,31.01,23.525,436.3,11.05,79.12,157.76,1918.8,35.96,163.2,3.8286,59.8,20.09,43.936,169.16,128.7,61.16,60.78,29.16
2023-12-04 09:00:00+00:00,32.575,12.064,156.49,137.94,58.61,58.28,22.21,17.27,187.2,28.895,113.12,43.135,51.26,177.64,34.98,15.956,54.22,22.98,137.58,402.0,88.94,696.1,31.05,23.585,435.9,11.03,78.74,157.0,1915.2,36.045,162.82,3.8166,59.68,20.09,43.76,168.98,127.76,61.29,61.1,29.09
2023-12-04 10:00:00+00:00,32.72,12.08,157.02,138.09,58.78,58.45,22.3,17.23,187.6,28.925,113.44,43.28,51.26,177.62,35.02,15.9,54.48,23.085,137.4,401.4,88.98,697.9,31.08,23.51,435.6,11.056,78.64,157.3,1914.6,36.15,162.88,3.827,59.74,20.136,43.716,169.36,126.88,61.07,61.42,29.13
2023-12-04 11:00:00+00:00,32.71,12.088,157.13,138.32,58.83,58.33,22.3,17.21,187.96,28.96,113.54,43.295,51.25,177.9,35.01,15.932,54.28,23.045,137.3,400.9,88.94,696.0,31.09,23.515,435.5,11.044,78.58,157.98,1911.8,36.06,163.08,3.8266,59.68,20.116,43.586,169.02,126.36,60.88,61.3,29.13
2023-12-04 12:00:00+00:00,32.69,12.096,157.22,138.21,58.9,58.295,22.21,17.17,188.0,28.99,113.56,43.26,51.1,177.56,35.01,15.95,54.2,23.015,137.18,399.26,88.84,694.8,31.075,23.565,435.9,11.04,78.76,158.0,1910.8,36.01,162.86,3.827,57.0,20.116,43.58,169.04,125.7,60.88,61.3,29.115
2023-12-04 13:00:00+00:00,32.72,12.102,156.87,137.9,58.79,58.25,22.18,17.144,187.38,28.945,113.52,43.2,51.12,177.24,35.04,15.976,54.04,22.995,137.1,398.9,88.84,693.9,31.08,23.56,435.86,11.042,78.67,157.6,1911.0,36.015,162.14,3.8316,59.53,20.094,43.54,168.94,125.2,61.06,61.06,29.0
2023-12-04 14:00:00+00:00,32.91,12.116,157.13,137.36,58.95,58.4,22.14,17.21,187.5,29.01,113.4,43.21,51.27,177.84,34.98,16.03,54.24,23.04,137.3,401.26,88.72,698.8,31.045,23.545,436.7,11.074,78.76,158.34,1920.0,36.17,161.96,3.8424,59.59,20.23,43.636,168.46,124.4,61.18,61.24,29.0
2023-12-04 15:00:00+00:00,32.865,12.122,156.83,137.29,58.84,58.385,22.14,17.214,186.96,29.04,113.58,43.13,51.43,177.94,34.9,15.996,54.37,23.02,137.18,399.64,88.6,696.5,31.04,23.535,436.6,11.1,78.66,158.0,1916.4,36.21,161.72,3.8438,59.49,20.3,43.356,168.27,124.0,61.345,60.94,28.89
2023-12-04 16:00:00+00:00,32.86,12.158,156.55,136.86,58.79,58.45,23.5,17.24,186.9,29.135,113.48,43.13,51.34,178.06,34.81,16.108,54.88,23.075,136.6,400.1,88.64,700.4,30.97,23.48,436.5,11.166,78.84,158.5,1917.4,36.245,161.26,3.843,57.0,20.42,43.366,168.0,123.7,61.28,61.3,29.06
2023-12-05 08:00:00+00:00,33.31,12.106,157.24,136.05,58.82,58.52,22.1,17.356,188.46,29.175,114.32,43.23,51.16,177.46,34.79,16.01,54.0,23.11,135.56,398.16,89.08,699.65,31.35,23.525,438.94,11.132,79.64,158.4,1924.0,35.98,160.92,3.8966,59.84,20.26,43.966,169.48,123.0,61.725,61.94,28.9
2023-12-05 09:00:00+00:00,33.3,12.148,157.69,136.42,58.69,58.75,22.13,17.34,187.98,29.16,114.54,43.23,51.2,177.76,34.79,16.084,54.36,23.135,135.68,400.9,89.22,702.2,31.3,23.63,439.64,11.14,79.43,158.78,1926.6,35.81,160.82,3.9006,60.04,20.19,43.936,169.45,123.46,61.77,62.56,29.08
2023-12-05 10:00:00+00:00,33.2,12.122,157.45,135.97,58.37,58.735,22.06,17.2,188.1,29.095,114.28,43.32,51.12,177.66,34.76,16.042,54.7,23.185,135.26,398.44,89.08,700.9,31.34,23.57,439.16,11.12,79.3,158.26,1922.8,35.785,160.24,3.8886,60.05,20.15,43.96,169.42,123.66,61.52,62.88,28.96
2023-12-05 11:00:00+00:00,33.065,12.086,157.64,135.72,58.51,58.8,22.0,17.246,188.26,29.07,114.46,43.31,51.04,177.88,34.7,16.058,54.75,23.16,135.02,399.8,89.22,703.9,31.41,23.56,439.4,11.132,79.12,158.66,1929.4,35.89,160.14,3.8826,60.07,20.14,44.064,169.56,124.0,61.4,62.69,28.92
2023-12-05 12:00:00+00:00,33.28,12.112,158.05,135.89,58.6,58.975,22.06,17.25,188.52,29.14,114.5,43.31,51.33,178.44,34.77,16.058,54.86,23.23,134.26,401.86,89.13,705.8,31.43,23.58,439.06,11.112,79.18,158.76,1939.8,35.885,160.3,3.8986,60.22,20.186,44.086,169.82,124.2,61.475,62.82,29.09
2023-12-05 13:00:00+00:00,33.335,12.136,157.82,135.97,58.51,59.24,22.09,17.234,188.46,29.165,114.74,43.305,51.23,178.64,34.865,16.044,54.69,23.29,135.28,402.66,89.4,706.6,31.365,23.57,439.46,11.122,79.12,158.82,1934.2,35.835,160.18,3.9046,60.31,20.13,44.106,170.22,123.86,61.19,62.7,29.13
2023-12-05 14:00:00+00:00,33.34,12.182,158.07,135.92,58.48,59.54,22.09,17.266,189.06,29.245,114.88,43.425,51.24,178.68,34.935,16.048,54.52,23.33,135.56,399.36,89.28,710.1,31.4,23.48,439.06,11.182,79.06,158.56,1935.4,35.87,160.04,3.9134,60.27,20.25,44.11,170.0,123.9,61.37,62.64,29.11
2023-12-05 15:00:00+00:00,33.16,12.194,158.45,136.58,58.66,59.66,22.16,17.286,189.08,29.26,115.1,43.55,51.39,179.68,34.96,15.998,54.72,23.4,135.16,400.0,89.57,713.9,31.41,23.51,439.52,11.148,78.92,158.76,1941.6,35.845,159.62,3.9196,60.35,20.406,44.106,170.16,123.8,61.405,62.58,29.12
2023-12-05 16:00:00+00:00,33.2,12.124,158.91,136.3,58.62,59.67,22.14,17.32,189.06,29.3,115.3,43.54,51.38,179.98,35.23,16.06,54.62,23.315,135.4,398.96,89.78,713.9,31.4,23.495,439.3,11.15,78.92,159.2,1933.0,35.91,160.48,3.92,60.6,20.45,44.06,170.02,123.16,61.15,62.4,29.78
